Anzahl Elemente,ProjectAlpha::DoublyLinkedList,std::list
50,293,66
100,289,58
150,291,54
200,316,82
250,288,66
300,289,55
350,293,55
400,317,89
450,288,55
500,296,56
550,292,55
600,325,86
650,292,56
700,288,59
750,288,55
800,318,86
850,284,55
900,289,54
950,286,57
1000,320,82
1050,293,66
1100,291,56
1150,290,55
1200,320,88
1250,289,53
1300,287,54
1350,289,70
1400,317,93
1450,289,55
1500,290,55
1550,287,55
1600,318,102
1650,291,55
1700,289,55
1750,288,54
1800,332,84
1850,289,59
1900,285,57
1950,287,54
2000,326,85
2050,288,56
2100,290,55
2150,288,54
2200,322,87
2250,289,53
2300,290,54
2350,288,54
2400,322,88
2450,306,57
2500,298,69
2550,296,56
2600,328,85
2650,300,58
2700,301,56
2750,297,57
2800,327,85
2850,298,56
2900,299,56
2950,297,57
3000,327,85
3050,298,55
3100,297,57
3150,297,56
3200,422,87
3250,297,56
3300,298,59
3350,301,57
3400,341,88
3450,297,56
3500,297,58
3550,305,58
3600,327,85
3650,292,69
3700,291,68
3750,301,58
3800,318,86
3850,289,59
3900,288,59
3950,290,60
4000,325,88
4050,309,60
4100,295,58
4150,288,59
4200,324,90
4250,296,57
4300,285,58
4350,292,57
4400,320,87
4450,289,57
4500,292,57
4550,290,59
4600,316,91
4650,296,56
4700,294,59
4750,294,58
4800,323,87
4850,290,61
4900,295,60
4950,290,61
5000,339,88
5050,314,66
5100,307,60
5150,289,58
5200,335,89
5250,288,57
5300,293,60
5350,291,56
5400,392,87
5450,286,55
5500,302,54
5550,287,58
5600,320,89
5650,310,79
5700,291,59
5750,293,58
5800,322,88
5850,298,56
5900,286,60
5950,289,60
6000,328,135
6050,292,65
6100,291,59
6150,293,56
6200,313,88
6250,294,54
6300,287,58
6350,291,58
6400,316,85
6450,286,56
6500,285,56
6550,292,56
6600,315,87
6650,290,57
6700,288,57
6750,287,59
6800,321,89
6850,284,60
6900,290,57
6950,287,57
7000,315,84
7050,293,56
7100,288,60
7150,288,56
7200,323,100
7250,292,57
7300,282,56
7350,308,55
7400,313,83
7450,298,58
7500,286,56
7550,289,57
7600,318,85
7650,291,58
7700,282,56
7750,286,58
7800,316,86
7850,287,57
7900,286,58
7950,295,58
8000,315,86
8050,288,59
8100,292,55
8150,285,56
8200,316,87
8250,286,61
8300,291,56
8350,282,56
8400,405,89
8450,468,111
8600,427,144
8650,290,58
8700,287,55
8750,291,57
8800,394,84
8850,295,56
8900,292,55
8950,286,58
9000,318,84
9050,292,59
9100,288,61
9150,287,55
9200,389,88
9250,292,59
9300,288,57
9350,289,56
9400,314,89
9450,288,57
9500,289,55
9550,284,59
9650,289,61
9700,290,56
9750,294,55
9800,326,88
9850,286,58
9900,290,60
9950,284,58
10000,326,93
