Anzahl Elemente,ProjectAlpha::List,std::forward_list
50,172,67
100,172,52
150,169,51
200,204,84
250,167,63
300,171,55
350,191,52
400,203,94
450,171,53
500,171,55
550,170,51
600,200,84
650,170,53
700,172,53
750,171,54
800,207,83
850,173,53
900,174,52
950,171,54
1000,205,75
1050,173,63
1100,174,53
1150,173,52
1200,204,81
1250,174,53
1300,174,52
1350,173,53
1400,212,86
1450,173,53
1500,175,54
1550,168,52
1600,207,84
1650,171,52
1700,174,54
1750,175,52
1800,205,83
1850,172,73
1900,169,53
1950,172,54
2000,206,84
2050,168,54
2100,173,53
2150,288,71
2200,204,88
2250,172,53
2300,172,53
2350,173,53
2400,206,84
2450,173,55
2500,173,52
2550,172,54
2600,203,109
2650,172,53
2700,171,53
2750,172,52
2800,203,85
2850,173,53
2900,173,52
2950,170,52
3000,207,84
3050,169,53
3100,172,53
3150,169,53
3200,204,86
3250,173,51
3300,173,52
3350,173,52
3400,202,85
3450,175,51
3500,173,52
3550,168,53
3600,202,85
3650,171,54
3700,173,52
3750,170,50
3800,221,83
3850,170,52
3900,173,52
3950,171,52
4000,203,85
4050,172,51
4100,173,52
4150,171,54
4200,202,85
4250,171,53
4300,169,54
4350,174,53
4400,201,81
4450,171,52
4500,169,53
4550,172,53
4600,219,87
4650,171,54
4700,172,53
4750,168,53
4800,203,80
4850,171,56
4900,173,54
4950,173,53
5000,205,84
5050,175,52
5100,169,52
5150,175,54
5200,203,86
5250,174,53
5300,172,55
5350,175,52
5400,203,84
5450,188,52
5500,171,54
5550,175,56
5600,205,82
5650,173,67
5700,174,69
5750,175,61
5800,203,83
5850,171,52
5900,172,53
5950,171,52
6000,205,85
6050,171,51
6100,169,53
6150,171,54
6200,202,83
6250,168,52
6300,173,52
6350,167,53
6400,206,85
6450,171,53
6500,172,52
6550,174,51
6600,204,84
6650,173,51
6700,171,54
6750,173,53
6800,203,84
6850,170,52
6900,173,52
6950,172,53
7000,201,82
7050,168,54
7100,172,53
7150,169,53
7200,209,85
7250,173,51
7300,169,53
7350,168,54
7400,204,83
7450,169,52
7500,170,50
7550,173,52
7600,203,85
7650,171,54
7700,174,53
7750,174,53
7800,215,83
7850,169,51
7900,170,52
7950,187,52
8000,207,109
8050,171,51
8100,176,53
8150,170,53
8200,200,85
8250,174,51
8300,174,51
8350,174,53
8400,204,85
8450,172,52
8500,172,51
8550,172,51
8600,203,83
8650,168,56
8700,173,51
8750,174,53
8800,208,83
8850,172,51
8900,172,54
8950,174,53
9000,203,84
9050,174,53
9100,212,78
9150,174,63
9200,204,84
9250,168,52
9300,172,52
9350,171,53
9400,203,82
9450,171,53
9500,168,52
9550,173,52
9600,200,83
9650,173,53
9700,172,51
9750,171,53
9800,203,83
9850,173,53
9900,173,54
9950,173,53
10000,194,73
